catalog_id,year,review_type,icd11_pain_category,bps_mention_location,bps_function,bio_mentioned,psych_mentioned,social_mentioned,title
1,,scoping or mapping review,chronic secondary musculoskeletal pain,title,organizing,no,no,no,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biop...
2,,network meta-analysis,chronic secondary musculoskeletal pain,title,intervention,no,no,no,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term Pain and Disability in Chronic Low Back Pai...
3,2026.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,no,yes,Dual Experience and Management of Pain in Older Adults and Their Caregivers.
4,2025.0,systematic review,mixed or unspecified chronic pain,abstract,background,no,yes,yes,Chronic pain in European adult populations: a systematic review of prevalence and associated clinical features.
5,2025.0,scoping or mapping review,mixed or unspecified chronic pain,abstract,background,no,yes,no,Conversational Agents to Support Pain Management: A Scoping Review.
6,2025.0,systematic review,chronic secondary musculoskeletal pain,title,organizing,no,yes,yes,Biopsychosocial and physical factors associated with firefighter musculoskeletal disorders: a systematic review.
7,2025.0,systematic review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,yes,Social dimensions as explanatory approaches for the development of chronic pain: a meta-ethnography of qualitative st...
8,2025.0,systematic review,chronic primary pain,abstract,intervention,yes,no,no,Advances in Our Understanding and Treatment of Nociplastic Pain.
9,2025.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.
10,2025.0,scoping or mapping review,mixed or unspecified chronic pain,abstract,intervention,no,yes,no,Existential therapy for treating chronic pain: A scoping review.
11,2024.0,narrative or expert review,chronic neuropathic pain,abstract,intervention,yes,no,no,A clinical approach to the investigation and management of long COVID associated neuropathic pain.
12,2024.0,systematic review,chronic secondary headache or orofacial pain,abstract,rhetorical,no,yes,yes,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Literature Containing Diagnostic Criteria fo...
13,2024.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,yes,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pat...
14,2024.0,meta-analysis,chronic secondary musculoskeletal pain,abstract,unclear,no,no,yes,Is educational attainment associated with the onset and outcomes of low back pain? a systematic review and meta-analy...
15,2024.0,scoping or mapping review,chronic primary pain,abstract,organizing,yes,yes,yes,What are the functional and clinical characteristics shared by fibromyalgia and low back pain? A scoping review.
16,2024.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,no,no,Deciphering pain: molecular mechanisms and neurochemical pathways-challenges and future opportunities.
17,2024.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,yes,yes,no,Effectiveness of Physical Activity in the Management of Nonspecific Low Back Pain: A Systematic Review.
18,2023.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,explanatory,no,no,yes,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.
19,2023.0,narrative or expert review,mixed or unspecified chronic pain,title+abstract,explanatory,yes,yes,yes,The Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocial Factors that Underlie Racial Disparities...
20,2023.0,narrative or expert review,chronic secondary visceral pain,abstract,background,yes,no,no,Management of Pelvic Pain in Patients with Crohn's Disease-Current Overview.
21,2023.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,no,yes,no,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain Management for Persistent Pain.
22,2023.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,Diagnosis and Management of Cyclic Vomiting Syndrome: A Critical Review.
23,2023.0,systematic review,chronic secondary visceral pain,abstract,intervention,no,no,no,Evaluation and Medical Management of Chronic Pelvic Pain.
24,2023.0,narrative or expert review,mixed or unspecified chronic pain,abstract,organizing,no,no,no,Clinical Diagnosis and Treatment of Chronic Pain.
25,2023.0,narrative or expert review,chronic neuropathic pain,abstract,rhetorical,yes,no,no,Aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Implications for Human Therapy.
26,2022.0,narrative or expert review,mixed or unspecified chronic pain,abstract,explanatory,yes,yes,no,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.
27,2022.0,narrative or expert review,chronic secondary visceral pain,abstract,organizing,yes,no,no,Persistent Pelvic Pain in Patients With Endometriosis.
28,2022.0,narrative or expert review,chronic secondary musculoskeletal pain,title+abstract,intervention,yes,yes,yes,Biopsychosocial approach to tendinopathy.
29,2022.0,systematic review,chronic secondary musculoskeletal pain,abstract,intervention,no,yes,yes,Pain Education in the Management of Patients with Chronic Low Back Pain: A Systematic Review.
30,2021.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,no,no,no,"Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal Neuralgia."
31,2021.0,systematic review,chronic secondary headache or orofacial pain,abstract,intervention,yes,yes,yes,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological interventions...
32,2021.0,systematic review,chronic secondary musculoskeletal pain,abstract,background,no,yes,no,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic Musculoske..."
33,2020.0,systematic review,chronic secondary musculoskeletal pain,title+abstract,intervention,no,no,no,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pa...
34,2020.0,narrative or expert review,chronic secondary headache or orofacial pain,abstract,justification,no,no,yes,"Treating Temporomandibular Disorders in the 21st Century: Can We Finally Eliminate the ""Third Pathway""?"
35,2020.0,meta-analysis,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Effectiveness of walking versus mind-body therapies in chronic low back pain: A systematic review and meta-analysis o...
36,2020.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Six things you need to know about low back pain.
37,2020.0,scoping or mapping review,chronic secondary headache or orofacial pain,title,organizing,no,yes,yes,Mapping Assessments Instruments for Headache Disorders against the ICF Biopsychosocial Model of Health and Disability.
38,2019.0,narrative or expert review,mixed or unspecified chronic pain,abstract,intervention,yes,yes,no,Pain therapy for the elderly patient: is opioid-free an option?
39,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,Low back pain: Moving toward mechanism-based management.
40,2019.0,narrative or expert review,chronic postsurgical or posttraumatic pain,title,explanatory,yes,yes,no,Where has the 'bio' in bio-psycho-social gone?
41,2019.0,narrative or expert review,chronic secondary musculoskeletal pain,abstract,intervention,no,no,no,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.
42,2019.0,systematic review,mixed or unspecified chronic pain,abstract,background,yes,yes,yes,Acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews.
43,2019.0,systematic review,chronic primary pain,abstract,conclusion,no,yes,yes,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.
44,2018.0,systematic review,mixed or unspecified chronic pain,title+abstract,explanatory,yes,yes,no,"Pain, aging and dementia: Towards a biopsychosocial model."
