record_id,model_label,model_id,extraction_field,item_index,label_raw,label_normalized,label_vocabulary,label_controlled,anchor_label,anchor_vocabulary,anchor_controlled,quote,item_json
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,0,justification,justification,,no,,,no,This review proposes an innovative biopsychosocial framework integrating precision geriatrics and digital therapeutics to address these challenges.,"{""usage_verbatim"": ""This review proposes an innovative biopsychosocial framework integrating precision geriatrics and digital therapeutics to address these challenges."", ""bps_function"": ""justification"", ""is_definitional"": ""no"", ""attributed_source"": ""own synthesis"", ""section_located"": ""abstract"", ""note"": ""Introduces the proposed framework as biopsychosocial.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,1,explanatory framework,explanatory framework,,no,,,no,"This is the neurobiological basis of the biopsychosocial model of pain: the pain experience is an emergent property of the dynamic interaction between peripheral nociception, central processing, and psychological state.","{""usage_verbatim"": ""This is the neurobiological basis of the biopsychosocial model of pain: the pain experience is an emergent property of the dynamic interaction between peripheral nociception, central processing, and psychological state."", ""bps_function"": ""explanatory framework"", ""is_definitional"": ""yes"", ""attributed_source"": ""unattributed"", ""section_located"": ""results"", ""note"": ""Defines BPS as emergent property of three interacting components.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,2,intervention rationale,intervention rationale,,no,,,no,The complexity of geriatric MPS...makes it clear that no single intervention...can fully address all dimensions of the condition. The most effective...approach is one that is integrative and multidisciplinary.,"{""usage_verbatim"": ""The complexity of geriatric MPS...makes it clear that no single intervention...can fully address all dimensions of the condition. The most effective...approach is one that is integrative and multidisciplinary."", ""bps_function"": ""intervention rationale"", ""is_definitional"": ""no"", ""attributed_source"": ""own synthesis"", ""section_located"": ""discussion"", ""note"": ""Uses BPS to justify multidisciplinary care.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,3,conclusion,conclusion,,no,,,no,"Addressing this challenge demands a paradigm shift toward a holistic, patient-centered, biopsychosocial framework grounded in the principles of geroscience.","{""usage_verbatim"": ""Addressing this challenge demands a paradigm shift toward a holistic, patient-centered, biopsychosocial framework grounded in the principles of geroscience."", ""bps_function"": ""conclusion"", ""is_definitional"": ""no"", ""attributed_source"": ""own synthesis"", ""section_located"": ""conclusion"", ""note"": ""Calls for BPS framework in conclusion.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,4,policy or practice implication,policy or practice implication,,no,,,no,"Clinicians are encouraged to adopt a biopsychosocial lens, prioritize non-pharmacological approaches, and engage in interdisciplinary collaboration.","{""usage_verbatim"": ""Clinicians are encouraged to adopt a biopsychosocial lens, prioritize non-pharmacological approaches, and engage in interdisciplinary collaboration."", ""bps_function"": ""policy or practice implication"", ""is_definitional"": ""no"", ""attributed_source"": ""own synthesis"", ""section_located"": ""conclusion"", ""note"": ""Recommends BPS lens for clinicians.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_usage_instances,5,organizing principle,organizing principle,,no,,,no,"The synthesis was structured around six key domains...The framework emphasizes a shift from a biomedical, symptom-focused approach to a holistic, patient-centered model that addresses biological, psychological, and social dimensions of pain.","{""usage_verbatim"": ""The synthesis was structured around six key domains...The framework emphasizes a shift from a biomedical, symptom-focused approach to a holistic, patient-centered model that addresses biological, psychological, and social dimensions of pain."", ""bps_function"": ""organizing principle"", ""is_definitional"": ""no"", ""attributed_source"": ""own synthesis"", ""section_located"": ""methods"", ""note"": ""Uses BPS to structure the synthesis.""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,bps_definitions,0,unattributed,unattributed,,no,,,no,"This is the neurobiological basis of the biopsychosocial model of pain: the pain experience is an emergent property of the dynamic interaction between peripheral nociception, central processing, and psychological state.","{""definition_verbatim"": ""This is the neurobiological basis of the biopsychosocial model of pain: the pain experience is an emergent property of the dynamic interaction between peripheral nociception, central processing, and psychological state."", ""definition_type"": ""implicit_description"", ""attributed_source"": ""unattributed"", ""elements_named"": [""peripheral nociception"", ""central processing"", ""psychological state""], ""section_located"": ""results""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,domain_evidence,0,biological,biological,,no,,,no,"Core geroscience principles—including sarcopenia, inflammaging, and cellular senescence—converge to create a state of heightened central sensitization that amplifies pain.","{""domain"": ""biological"", ""coverage_level"": ""elaborated"", ""constructs_named"": [""sarcopenia"", ""dynapenia"", ""fascial stiffening"", ""inflammaging"", ""cellular senescence"", ""central sensitization""], ""subdomains_named"": [""Musculoskeletal and Structural Pathology"", ""Immune Inflammatory and Neuroinflammatory Processes"", ""Central Sensitization and Neuroplasticity"", ""Metabolic Nutritional and Hormonal Factors""], ""evidence_verbatim"": ""Core geroscience principles—including sarcopenia, inflammaging, and cellular senescence—converge to create a state of heightened central sensitization that amplifies pain."", ""section_located"": ""abstract""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,domain_evidence,1,psychological,psychological,,no,,,no,"Psychological factors, which are highly prevalent in older adults with chronic pain, act as powerful top-down modulators of this centralized pain state.","{""domain"": ""psychological"", ""coverage_level"": ""mentioned"", ""constructs_named"": [""pain catastrophizing"", ""anxiety"", ""depression"", ""fear-avoidance beliefs""], ""subdomains_named"": [""Catastrophizing and Negative Cognitive Appraisal"", ""Fear Avoidance and Pain Related Fear"", ""Depression Emotional Distress and Affect"", ""Anxiety and Psychological Reactivity""], ""evidence_verbatim"": ""Psychological factors, which are highly prevalent in older adults with chronic pain, act as powerful top-down modulators of this centralized pain state."", ""section_located"": ""results""}"
F001_42080121,DeepSeek-V4-Flash,deepseek/deepseek-v4-flash,domain_evidence,2,social,social,,no,,,no,"In the elderly, this translates to a vicious cycle of pain, reduced mobility, loss of independence, and increased risk of falls, frailty, and social isolation.","{""domain"": ""social"", ""coverage_level"": ""minimal"", ""constructs_named"": [""social isolation"", ""family support"", ""social determinants of health""], ""subdomains_named"": [""Social Support Network and Interpersonal Resources"", ""Social Determinants of Pain and Environment""], ""evidence_verbatim"": ""In the elderly, this translates to a vicious cycle of pain, reduced mobility, loss of independence, and increased risk of falls, frailty, and social isolation."", ""section_located"": ""introduction""}"
