field,stage,level,description,allowed_values
record_id,stage3,record,Internal unique record identifier.,free_text
full_text_available,stage3,record,Whether the full text was available for coding.,yes; no; partial
review_track,stage3,record,"Which of the two planned reviews this record belongs to, read from the pain condition the paper actually studies. 'musculoskeletal' covers low back, neck, osteoarthritis, fibromyalgia, shoulder, and similar; 'neuropathic' covers painful...",musculoskeletal; neuropathic; mixed_or_other; unclear
source_type,stage3,record,"What kind of evidence synthesis this is, read from how the paper describes itself in its abstract and methods. Prefer the most specific applicable value: 'meta-analysis' outranks 'systematic review' when effect sizes are pooled, 'umbrell...",systematic review; meta-analysis; network meta-analysis; umbrella review; scoping or mapping review; rapid review; realist review; integrative review; narrative or expert review; clinical guideline or consensus statement; other evidence synthesis; primary study; unclear
icd11_pain_category,stage3,record,"The ICD-11 aligned pain category the paper is about, now read from the full text rather than from the abstract. Use 'mixed or unspecified chronic pain' when several categories are genuinely covered, and 'unclear' only when the paper neve...",chronic secondary musculoskeletal pain; chronic neuropathic pain; chronic cancer-related pain; chronic postsurgical or posttraumatic pain; chronic secondary headache or orofacial pain; chronic secondary visceral pain; chronic primary pain; mixed or unspecified chronic pain; unclear
population,stage3,record,"The population the reviewed evidence concerns. 'mixed ages' when adults and younger participants are both included, 'not applicable' for a purely theoretical paper with no population.",adult; older adult; mixed ages; pediatric; unclear; not applicable
care_setting,stage3,record,"The care setting the paper is about, when it reports one. 'not reported' is the honest answer for most reviews and is preferred over a guess.",primary care; secondary or tertiary specialist care; rehabilitation or multidisciplinary programme; occupational or workplace; community or population; mixed; not reported
primary_discipline,stage3,record,"The disciplinary home of the paper, read from the journal, the framing, and the vocabulary rather than from author affiliations alone. 'multidisciplinary' describes the writing, not the author list.",physiotherapy or rehabilitation; clinical or health psychology; rheumatology or orthopaedics; pain medicine or anaesthesiology; neurology or neuroscience; nursing; general or family medicine; public health or epidemiology; multidisciplinary; other; unclear
pain_condition_detail,stage3,record,"Free text, at most 40 words: the exact pain condition or conditions studied, in the paper's own words.",free_text
pain_conditions,stage3,record,"The specific pain conditions named, as a list of short labels. Preferred labels are given below; use the paper's own wording when it is more precise.","open list, max 6 entries"
context_note,stage3,record,"At most 40 words on the cultural, geographic, or healthcare-system context, when the paper states one. Empty when it does not.",free_text
quality_assessment_reported,stage3,record,Whether the paper reports a formal quality or risk-of-bias assessment of the evidence it reviews. This is descriptive only; the review does not appraise the papers itself.,yes; no; unclear
quality_assessment_tools,stage3,record,"The appraisal tools named (AMSTAR, AMSTAR-2, ROBIS, GRADE, Cochrane risk of bias, and others), as a list. Empty when none is named.","open list, max 4 entries"
bps_label_used,stage3,record,"Which biopsychosocial vocabulary the paper actually uses. 'explicit_bps_term' when the words biopsychosocial or bio-psycho-social appear anywhere; 'variant_term_only' when only a neighbour term does (psychosocial, multidimensional, multi...",explicit_bps_term; variant_term_only; domain_language_only; absent
bps_primary_function,stage3,record,"The single dominant work the biopsychosocial label does in this paper, judged over the paper as a whole. 'explanatory framework' requires that BPS explicitly explains pain or pain-related disability. 'intervention rationale' is BPS mainl...",explanatory framework; intervention rationale; organizing principle; justification; background framing; conclusion; policy or practice implication; rhetorical label; critique or problematization; operational definition; unclear
bps_functions_present,stage3,record,"Every function the label performs anywhere in the paper, as a list drawn from the same vocabulary. A paper routinely does two or three of these, and which ones it combines is a finding, so do not collapse them into the primary function.","multi-label list, max 6 entries from: explanatory framework; intervention rationale; organizing principle; justification; background framing; conclusion; policy or practice implication; rhetorical label; critique or problematization; operational definition; unclear"
bps_definition_status,stage3,record,How the paper handles the meaning of the model itself. 'formally_defined' when it states what the model means; 'described_informally' when the meaning is carried by description only; 'cited_only' when a citation stands in for a definitio...,formally_defined; described_informally; cited_only; undefined
bps_model_variants,stage3,record,"The model labels the paper actually uses, verbatim and de-duplicated (for example 'biopsychosocial model', 'bio-psycho-social framework', 'sociopsychobiological model', 'extended biopsychosocial model'). This is what makes terminological...","open list, max 5 entries"
bps_usage_instances,stage3,record,"One item for every distinct passage where the biopsychosocial label does work. Give usage_verbatim, bps_function for that passage, is_definitional, attributed_source (who the model is credited to there, empty when nobody), section_locate...","extraction list, max 8 items"
bps_usage_instances.usage_verbatim,stage3,item,Field inside each bps_usage_instances item.,"verbatim quote, max 60 words"
bps_usage_instances.bps_function,stage3,item,Field inside each bps_usage_instances item.,explanatory framework; intervention rationale; organizing principle; justification; background framing; conclusion; policy or practice implication; rhetorical label; critique or problematization; operational definition; unclear
bps_usage_instances.is_definitional,stage3,item,Field inside each bps_usage_instances item.,yes; no
bps_usage_instances.attributed_source,stage3,item,Field inside each bps_usage_instances item.,free_text
bps_usage_instances.section_located,stage3,item,Field inside each bps_usage_instances item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
bps_usage_instances.note,stage3,item,Field inside each bps_usage_instances item.,free_text
bps_definitions,stage3,record,"One item for every place where the paper says what the biopsychosocial model is. Give definition_verbatim, definition_type, attributed_source, elements_named (the components the definition lists, as short labels), and section_located. Re...","extraction list, max 3 items"
bps_definitions.definition_verbatim,stage3,item,Field inside each bps_definitions item.,"verbatim quote, max 60 words"
bps_definitions.definition_type,stage3,item,Field inside each bps_definitions item.,explicit_formal; operational; implicit_description; borrowed; critique_of_definition; other
bps_definitions.attributed_source,stage3,item,Field inside each bps_definitions item.,free_text
bps_definitions.elements_named,stage3,item,Field inside each bps_definitions item.,list of short free-text labels
bps_definitions.section_located,stage3,item,Field inside each bps_definitions item.,abstract; introduction; methods; results; discussion; conclusion; table or figure; other; unclear
bps_operationalization_summary,stage3,record,"At most 90 words, in your own words: what this paper actually does with the biopsychosocial model, as opposed to what it says about it. Name the mechanism of use, for example 'organizes the results section into three domain headings and...",free_text
domain_coverage_bio,stage3,record,"Depth of biological content: anatomy, physiology, pathophysiology, nociception, central or peripheral sensitization, inflammation, imaging, genetics, pharmacology, tissue pathology.",elaborated; mentioned; minimal; absent
domain_coverage_psych,stage3,record,"Depth of psychological content: cognition, affect, behaviour, beliefs, coping, catastrophizing, fear-avoidance, self-efficacy, depression, anxiety, acceptance, psychological treatment.",elaborated; mentioned; minimal; absent
