record_id,model_order,model_label,provider,model_id,review_type,objective_category,objective_category_source,icd11_pain_category,musculoskeletal_flag,bps_function,bio_mentioned,psych_mentioned,social_mentioned,quality_assessment_reported,psychological_concepts_detected,theoretical_frameworks_detected,conceptual_problem_flags,provisional_typology,stage3_candidate,stage3_priority,coding_rationale,coding_method,llm_model
A001_42403485,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,background framing,yes,no,no,no,,,tokenistic_bps | missing_social | parallel_listing_without_integration | mechanistic_absence,pseudo-bps or partial signal,yes,medium,BPS invoked only in opening line as 'complex interplay of biopsychosocial factors' without any substantive psychological or social content; review focuses on neurobiological mechanisms and clinical applications of acoustic stimulation.,llm_structured,deepseek/deepseek-v4-flash
A002_42385067,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,integrative review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,conclusion,no,yes,yes,no,self-management | coping,,missing_biology | tokenistic_bps,pseudo-bps or partial signal,yes,medium,BPS invoked only in conclusion as a rhetorical label; biological domain absent; psychological and social present but not integrated; musculoskeletal relevance unclear.,llm_structured,deepseek/deepseek-v4-flash
A003_42080121,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,chronic secondary musculoskeletal pain,yes,intervention rationale,yes,yes,yes,no,cognitive behavioral therapy,biopsychosocial model | geroscience | precision geriatrics,parallel_listing_without_integration | mechanistic_absence,multifactorial signal,yes,high,Narrative review proposing a BPS framework for MPS in elderly. All three domains present but social thin. BPS used as intervention rationale with parallel listing without integration. Multifactorial signal.,llm_structured,deepseek/deepseek-v4-flash
A004_41976799,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,chronic secondary headache or orofacial pain,yes,explanatory framework,no,yes,no,yes,catastrophizing | depression | pain catastrophizing,biopsychosocial model,missing_social | missing_biology | parallel_listing_without_integration,pseudo-bps or partial signal,yes,high,BPS as explanatory framework but biological content thin and social absent; psychological content present. Typology: pseudo-bps due to missing domains.,llm_structured,deepseek/deepseek-v4-flash
A005_41930351,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,no,no,no,,,tokenistic_bps | missing_social,pseudo-bps or partial signal,yes,medium,"BPS mentioned but only biology substantive; psychology and social absent. Tokenistic use. Mixed chronic pain, not musculoskeletal-specific. Systematic review of mechanisms and treatment.",llm_structured,deepseek/deepseek-v4-flash
A006_41897178,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,integrative review,epidemiological,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,yes,coping | stress | resilience | psychological distress | maladaptive coping,biopsychosocial model,none,potential integrative signal,yes,medium,Integrative review of CNCP using BPS as explanatory framework; all three domains substantively covered with integrative synthesis; social flagged as underexplored but included; candidate for full-text due to musculoskeletal relevance.,llm_structured,deepseek/deepseek-v4-flash
A007_41868689,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,chronic secondary musculoskeletal pain,yes,justification,no,yes,yes,yes,acceptance | beliefs | skepticism | misunderstandings | confidence | personal relevance,,missing_biology,pseudo-bps or partial signal,yes,high,BPS used as background justification for PNE; biological domain absent; psychological and social present; quality assessment reported; typology: pseudo-bps due to missing biology.,llm_structured,deepseek/deepseek-v4-flash
A008_41783653,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,systematic review,clinical,llm_structured,unclear,no,conclusion,yes,yes,yes,unclear,resilience | mental health | psychological resilience,biopsychosocial model,none,multifactorial signal,no,low,All three domains substantively present but treated in parallel; BPS used as concluding recommendation; not musculoskeletal-specific.,llm_structured,deepseek/deepseek-v4-flash
A009_41774945,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,resilience | emotional resilience | emotional wellbeing | feelings | skills | knowledge | self-empowerment | self-enablement | self-reliance | pain understanding | healthcare behaviours | interoception | body awareness,self framework | biopsychosocial-societal approach,none,potential integrative signal,yes,medium,"All three domains substantively present; framework integrates social, psychological, biological factors for resilience. Conceptual aim. Mixed chronic pain. Potential integrative signal.",llm_structured,deepseek/deepseek-v4-flash
A010_41619996,1,DeepSeek-V4-Flash,DeepSeek,deepseek/deepseek-v4-flash,narrative or expert review,conceptual,llm_structured,mixed or unspecified chronic pain,unclear,explanatory framework,yes,yes,yes,no,stress | cognitive-affective processing | stress regulation,,none,potential integrative signal,yes,medium,"All three domains substantively present; BPS used as explanatory framework for oxytocin's cross-domain action; no conceptual problems; opinion paper, not systematic review.",llm_structured,deepseek/deepseek-v4-flash
