record_id,reference_label,stage3_candidate,fulltext_status,manual_relevance_priority,relevance_flags,osf_manual_adjudication_required,reviewer_decision,reviewer_notes,adjudication_decision,adjudication_notes
pubmed_10908542,Biopsychosocial rehabilitation for upper limb repetitive strain injuries in...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_19160209,WITHDRAWN: Biopsychosocial rehabilitation for upper limb repetitive strain...,yes,pmc_fulltext_low_content_manual_check,high,withdrawn_or_retracted_signal | chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_40170347,Conversational Agents to Support Pain Management: A Scoping Review.,yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
pubmed_28371175,Exercise for chronic musculoskeletal pain: A biopsychosocial approach.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_35434749,Toll-Like Receptor 4 in Pain: Bridging Molecules-to-Cells-to-Systems.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_7866373,Pain and suffering: what is the unit?,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_21373784,Joint hypermobility syndrome: problems that require psychological intervent...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_38063895,A clinical approach to the investigation and management of long COVID assoc...,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_29460009,The Global Spine Care Initiative: applying evidence-based guidelines on the...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_20425201,"Unravelling the mystery of pain, suffering, and relief with brain imaging.",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_22102156,Chronic daily headache in children and adolescents.,no,,low,,yes,,,,
pubmed_36527589,The Experience of BIPOC Living with Chronic Pain in the USA: Biopsychosocia...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_28752491,Predictors of Osteoarthritis Pain: the Importance of Resilience.,yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
pubmed_33563380,"Pain Management in Neurosurgery: Back and Lower Extremity Pain, Trigeminal...",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_17350550,Management of musculoskeletal pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_23218435,Improving work participation for adults with musculoskeletal conditions.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_26096090,How to investigate: Chronic pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_41271285,Dual Experience and Management of Pain in Older Adults and Their Caregivers.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_30594766,Low back pain: Moving toward mechanism-based management.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_29729787,Key Components of Pain Management for Children and Adults with Sickle Cell...,yes,pmc_fulltext_cached,low,,yes,,,,
WOS:000453643300005,Identification of prognostic factors and assessment methods on the evaluati...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_27344405,"Chronic Pain and Mental Health Disorders: Shared Neural Mechanisms, Epidemi...",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_26614718,Biopsychosocial Approach to Assessing and Managing Patients with Chronic Pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_26614715,"Chronic Pain Management: An Overview of Taxonomy, Conditions Commonly Encou...",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_19289225,Behavioral medicine for migraine.,no,,high,pain_focus_not_explicit | chronicity_not_explicit,yes,,,,
pubmed_40675665,Advances in Our Understanding and Treatment of Nociplastic Pain.,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_27325001,Chronic/Persistent Idiopathic Facial Pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_27246519,Reward deficiency and anti-reward in pain chronification.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_24602442,Adherence monitoring with chronic opioid therapy for persistent pain: a bio...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_28947182,"Pain, aging and dementia: Towards a biopsychosocial model.",yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_22814445,A neuroscience approach to managing athletes with low back pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_1477890,Biopsychosocial analysis of low back pain.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_12948346,Psychosocial therapies for neck pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_17592957,The biopsychosocial approach to chronic pain: scientific advances and futur...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_18235536,Chronic nonmalignant pain: a challenge for patients and clinicians.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_24113949,Oral surgery: part 3. Temporomandibular disorders.,no,,low,,yes,,,,
pubmed_11092802,The biopsychosocial model--a tool for rheumatologists.,yes,manual_retrieval_required,high,pain_focus_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_37575343,Evaluation and Medical Management of Chronic Pelvic Pain.,yes,pmc_fulltext_low_content_manual_check,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_32988440,Six things you need to know about low back pain.,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_27351769,Clinical biopsychosocial physiotherapy assessment of patients with chronic...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_35645164,The biopsychosocial model is lost in translation: from misrepresentation to...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_11762878,Determinants of chronic disability related to low back pain: towards an int...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_33682560,An updated brief overview on post-traumatic headache and a systematic revie...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_36706441,Top Ten Tips Palliative Care Clinicians Should Know About Behavioral Pain M...,yes,pmc_fulltext_low_content_manual_check,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_16968689,Preventing incapacity in people with musculoskeletal disorders.,yes,manual_retrieval_required,high,pain_focus_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_40418249,Biopsychosocial and physical factors associated with firefighter musculoske...,yes,pmc_fulltext_cached,high,pain_focus_not_explicit | chronicity_not_explicit,yes,,,,
pubmed_10870733,Pain and suffering.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_2181358,The premenstrual syndrome.,no,,high,pain_focus_not_explicit | chronicity_not_explicit,yes,,,,
pubmed_30520741,Pain therapy for the elderly patient: is opioid-free an option?,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_26889614,Chronic Pain Following Motor Vehicle Collision: A Systematic Review of Outc...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_29494401,Neuroimaging of Pain: Human Evidence and Clinical Relevance of Central Nerv...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_35467583,Persistent Pelvic Pain in Patients With Endometriosis.,no,,low,,yes,,,,
pubmed_27023418,Acute analgesic effects of nicotine and tobacco in humans: a meta-analysis.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_27902569,Individual differences in pain: understanding the mosaic that makes pain pe...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_31977935,Physiotherapists' perceptions of learning and implementing a biopsychosocia...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_40101218,Chronic pain in European adult populations: a systematic review of prevalen...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_32871946,Effectiveness of walking versus mind-body therapies in chronic low back pai...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_27496639,Allogeneic stem cell transplantation for sickle cell disease.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_24080806,The importance of psychological assessment in chronic pain.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_24690764,The biopsychosocial model in cancer pain.,no,,low,,yes,,,,
pubmed_30893103,Where has the 'bio' in bio-psycho-social gone?,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_22406986,Medically unexplained symptoms and pain: misunderstanding and myth.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_23314014,Evidence-based approach to manage persistent wound-related pain.,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_26148424,Current concepts in vulvodynia with a focus on pathogenesis and pain mechan...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_41268985,Existential therapy for treating chronic pain: A scoping review.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_41105043,Pain Perception and Modulation: Fundamental Neurobiology and Recent Advances.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_24261452,Orofacial pain: a guide for the headache physician.,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_17371358,Psychological risk factors in headache.,no,,low,,yes,,,,
pubmed_29722923,Enriched Environment and Effects on Neuropathic Pain: Experimental Findings...,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_35990762,Biopsychosocial approach to tendinopathy.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_12421777,Prevention of chronic pain after whiplash.,yes,pmc_fulltext_low_content_manual_check,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_32870949,Treating Temporomandibular Disorders in the 21st Century: Can We Finally El...,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_26600874,An update on the management of post-traumatic headache.,yes,pmc_fulltext_low_content_manual_check,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_22435173,"A critical review of Dr. Charles S. Greene's article titled ""Managing the C...",yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_23786498,The development of chronic pain: physiological CHANGE necessitates a multid...,no,,low,,yes,,,,
pubmed_24405725,"Are depression, anxiety and poor mental health risk factors for knee pain?...",yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
pubmed_40624502,Social dimensions as explanatory approaches for the development of chronic...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_39468650,What are the functional and clinical characteristics shared by fibromyalgia...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_17420400,The impact of neuropathic pain on health-related quality of life: review an...,yes,manual_retrieval_required,medium,chronicity_not_explicit | stage3_fulltext_manual_check_pending,yes,,,,
pubmed_39137213,Is educational attainment associated with the onset and outcomes of low bac...,yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
pubmed_36791365,Diagnosis and Management of Cyclic Vomiting Syndrome: A Critical Review.,no,,low,,yes,,,,
pubmed_22550985,The classification and differential diagnosis of orofacial pain.,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_19418887,Early stress response: a vulnerability framework for functional impairment...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_24966693,Chronic musculoskeletal pain: review of mechanisms and biochemical biomarke...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_25953594,Addressing Neuroplastic Changes in Distributed Areas of the Nervous System...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_38754116,Construction of the chronic temporomandibular disorder patients: the associ...,yes,manual_retrieval_required,medium,stage3_fulltext_manual_check_pending,yes,,,,
pubmed_39629040,Deciphering pain: molecular mechanisms and neurochemical pathways-challenge...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_38137395,Aerobic Exercise and Neuropathic Pain: Insights from Animal Models and Impl...,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_26039013,Goal-Directed Resilience in Training (GRIT): A Biopsychosocial Model of Sel...,no,,low,,yes,,,,
pubmed_38132273,Clinical Diagnosis and Treatment of Chronic Pain.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_38470686,Etiologic Factors of Temporomandibular Disorders: A Systematic Review of Li...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_33396262,Mapping Assessments Instruments for Headache Disorders against the ICF Biop...,no,,medium,chronicity_not_explicit,yes,,,,
pubmed_36675454,Management of Pelvic Pain in Patients with Crohn's Disease-Current Overview.,no,,low,,yes,,,,
WOS:001116314900001,Effects of Multidisciplinary Biopsychosocial Rehabilitation on Short-Term P...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_31466408,The Evolving Case Supporting Individualised Physiotherapy for Low Back Pain.,yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
pubmed_36278735,Pain Education in the Management of Patients with Chronic Low Back Pain: A...,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_31878346,Acupuncture for the Relief of Chronic Pain: A Synthesis of Systematic Reviews.,yes,pmc_fulltext_cached,low,,yes,,,,
pubmed_39768944,Effectiveness of Physical Activity in the Management of Nonspecific Low Bac...,yes,pmc_fulltext_cached,medium,chronicity_not_explicit,yes,,,,
