space,space_label,layer,label_kind,source_field,read_from,question,mean_pairwise_jaccard,mean_pairwise_semantic_jaccard,median_pairwise_semantic_jaccard,semantic_gain,share_papers_with_shared_concept,n_comparable_pairs,mean_labels_per_coding,n_label_entries,n_distinct_labels,n_semantic_concepts,label_inflation
domain_evidence,Domain evidence,identity,controlled,domain_evidence,domain,Do the coders carry evidence for the same domains,0.8782505910165486,0.8782505910165486,1.0,0.0,1.0,141,2.77,390,3,3,1.0
psychological_concepts,Psychological concepts,identity,free text,psychological_concepts,concept_label,Do the coders name the same psychological constructs,0.4141680903430788,0.4627637875546446,0.4444444444444444,0.048595697211565814,1.0,141,9.05,1276,424,281,1.508896797153025
integration_claims,Integration claims,identity,free text,integration_claims,source_factor_label + domains_linked + target_factor_label,Do the coders draw the same links between domains,0.5845238095238096,0.5845238095238096,0.5833333333333333,0.0,0.9787234042553191,140,2.66,375,4,3,1.3333333333333333
theoretical_frameworks,Theoretical frameworks,identity,free text,theoretical_frameworks,framework_label,Do the coders find the same frameworks,0.34137336093857834,0.43552449965493445,0.4,0.09415113871635611,0.851063829787234,138,3.3,465,245,170,1.4411764705882353
conceptual_problems,Conceptual problems,identity,controlled,conceptual_problems,problem_type,Do the coders see the same conceptual problems,0.29609929078014185,0.29609929078014185,0.25,0.0,0.574468085106383,141,3.14,443,9,9,1.0
key_quotes,Key quotes,identity,controlled,key_quotes,claim_type,Do the coders quote the same kinds of claim,0.43252279635258356,0.43252279635258356,0.4,0.0,0.8723404255319149,141,3.3,466,7,7,1.0
domain_evidence_constructs,Constructs carrying a domain,vocabulary,free text,domain_evidence,constructs_named,Do the coders name the same constructs as carrying the domains,0.30700718470607125,0.3833704579218457,0.3684210526315789,0.07636327321577446,1.0,141,17.89,2522,1139,727,1.5667125171939478
domain_evidence_constructs_bio,Constructs carrying biology,vocabulary,free text,domain_evidence,constructs_named,Do the coders name the same biological content,0.2553257646029861,0.356550367267296,0.3333333333333333,0.10122460266430988,0.9148936170212766,141,6.64,936,507,332,1.5271084337349397
domain_evidence_constructs_psych,Constructs carrying psychology,vocabulary,free text,domain_evidence,constructs_named,Do the coders name the same psychological content,0.4061455989062866,0.4673438043901123,0.45454545454545453,0.06119820548382571,0.9574468085106383,141,6.98,984,324,218,1.4862385321100917
domain_evidence_constructs_social,Constructs carrying the social,vocabulary,free text,domain_evidence,constructs_named,Do the coders name the same social content,0.23735139019229928,0.2846059033559034,0.2403846153846154,0.04725451316360413,0.7021276595744681,132,4.3,606,333,222,1.5
defined_concepts,Concepts the review defines,filtered,free text,psychological_concepts,concept_label,Do the coders agree on which constructs are actually given a meaning,0.2719124456988535,0.2891784590813717,0.2222222222222222,0.01726601338251821,0.46808510638297873,103,2.2,310,144,122,1.180327868852459
substantive_frameworks,Frameworks doing real work,filtered,free text,theoretical_frameworks,framework_label,Do the coders agree on which frameworks the review is built on,0.27966701173222913,0.349120082815735,0.3333333333333333,0.06945307108350585,0.7659574468085106,138,2.17,306,165,124,1.3306451612903225
mechanistic_integration_claims,Mechanistic integration claims,filtered,free text,integration_claims,source_factor_label + domains_linked + target_factor_label,Do the coders agree on where a real pathway is described,0.42979002624671914,0.44553805774278216,0.5,0.01574803149606302,0.7659574468085106,127,1.63,230,4,3,1.3333333333333333
