record_id,pmid,pmcid,doi,title,journal,year,icd11_pain_category,musculoskeletal_flag,review_type,provisional_typology,conceptual_problem_flags,psychological_concepts_detected,theoretical_frameworks_detected,stage3_priority,coding_rationale,fulltext_status,retrieval_source,fulltext_word_count,fulltext_checked_utc,manual_retrieval_needed,manual_relevance_priority,manual_relevance_flags,osf_manual_adjudication_required,pubmed_url,cached_xml_path,cached_text_path
WOS:000453643300005,,,10.1016/j.ijosm.2018.07.001,Identification of prognostic factors and assessment methods on the evaluation of non-specific low back pain in a biopsychosocial environment: A scoping review,INTERNATIONAL JOURNAL OF OSTEOPATHIC MEDICINE,,chronic secondary musculoskeletal pain,yes,scoping or mapping review,pseudo-bps or partial signal,vague_definition | parallel_listing_without_integration | mechanistic_absence | missing_biology,coping,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,,,
pubmed_38754116,38754116.0,,10.26635/6965.6513,Construction of the chronic temporomandibular disorder patients: the association between neural and psychological pathways.,The New Zealand medical journal,2024.0,mixed or unspecified chronic pain,yes,narrative or expert review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/38754116.0/,,
pubmed_35645164,35645164.0,,10.1080/09593985.2022.2080130,The biopsychosocial model is lost in translation: from misrepresentation to an enactive modernization.,Physiotherapy theory and practice,2023.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,potential integrative signal,vague_definition | tokenistic_bps,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/35645164.0/,,
pubmed_33682560,33682560.0,,10.1080/14737175.2021.1900734,An updated brief overview on post-traumatic headache and a systematic review of the non-pharmacological interventions for its management.,Expert review of neurotherapeutics,2021.0,chronic secondary headache or orofacial pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/33682560.0/,,
pubmed_34793635,34793635.0,,,"Religious Beliefs and Attitudes in Relation to Pain, Pain-Related Beliefs, Function, and Coping in Chronic Musculoskeletal Pain: A Systematic Review.",Pain physician,2021.0,chronic secondary musculoskeletal pain,yes,systematic review,multifactorial signal,parallel_listing_without_integration | mechanistic_absence,coping | acceptance | self-efficacy | cognitions | emotions,biopsychosocial-spiritual model,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/34793635.0/,,
pubmed_31977935,31977935.0,,10.1097/j.pain.0000000000001809,Physiotherapists' perceptions of learning and implementing a biopsychosocial intervention to treat musculoskeletal pain conditions: a systematic review and metasynthesis of qualitative studies.,Pain,2020.0,chronic secondary musculoskeletal pain,yes,systematic review,potential integrative signal,none,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/31977935.0/,,
pubmed_32988440,32988440.0,,10.1071/HC19117,Six things you need to know about low back pain.,Journal of primary health care,2020.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,tokenistic_bps | parallel_listing_without_integration | mechanistic_absence | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/32988440.0/,,
pubmed_32010899,32010899.0,PMC6974394,10.5606/ArchRheumatol.2019.6801,Group Psychotherapy With Fibromyalgia Patients: A Systematic Review.,Archives of rheumatology,2019.0,chronic primary pain,yes,systematic review,pseudo-bps or partial signal,parallel_listing_without_integration | missing_biology,,,high,Structured Stage 2 output required deterministic field repair for omitted items.,pmc_fulltext_low_content_manual_check,stage2_existing_pmcid,8,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/32010899.0/,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.xml,review_stages/04_extraction/inputs/fulltext_cache/pmc/PMC6974394.txt
pubmed_30594766,30594766.0,,10.1016/j.clinbiomech.2018.12.010,Low back pain: Moving toward mechanism-based management.,"Clinical biomechanics (Bristol, Avon)",2019.0,chronic secondary musculoskeletal pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration | mechanistic_absence,,mechanistic approach,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,chronicity_not_explicit,yes,https://pubmed.ncbi.nlm.nih.gov/30594766.0/,,
pubmed_30893103,30893103.0,,10.1097/SPC.0000000000000420,Where has the 'bio' in bio-psycho-social gone?,Current opinion in supportive and palliative care,2019.0,chronic postsurgical or posttraumatic pain,yes,narrative or expert review,pseudo-bps or partial signal,parallel_listing_without_integration,catastrophizing,,high,Structured Stage 2 output required deterministic field repair for omitted items.,manual_retrieval_required,none,0,2026-04-07T20:02:14+00:00,yes,medium,,yes,https://pubmed.ncbi.nlm.nih.gov/30893103.0/,,
