record_id,pmid,pmcid,doi,title,journal,year,stage3_candidate,stage3_priority,candidate_consensus_depth,musculoskeletal_flag,icd11_pain_category,provisional_typology,bio_mentioned,psych_mentioned,social_mentioned,n_domains_consensus
A003_42080121,42080121,PMC13128561,10.3389/fnagi.2026.1806386,Myofascial pain in older adults: a geroscience-informed framework integrating precision geriatrics and digital therapeutics.,Frontiers in aging neuroscience,2026,yes,high,3,yes,chronic secondary musculoskeletal pain,multifactorial signal,yes,yes,yes,3
A004_41976799,41976799,PMC13073292,10.3390/jcm15072498,Biopsychosocial Predictors of Pain Persistence and Pain Chronification in Temporomandibular Disorders: A Systematic Review.,Journal of clinical medicine,2026,yes,high,3,yes,chronic secondary headache or orofacial pain,pseudo-bps or partial signal,yes,yes,no,2
A007_41868689,41868689,PMC13004225,10.1097/PR9.0000000000001420,Acceptance of pain neuroscience education in chronic musculoskeletal pain conditions: qualitative systematic review.,Pain reports,2026,yes,high,3,yes,chronic secondary musculoskeletal pain,potential integrative signal,yes,yes,yes,3
A013_41492309,41492309,PMC12765098,10.1016/j.ocarto.2025.100725,Biopsychosocial predictive factors for developing chronic postsurgical pain after hip replacement surgery: A systematic review.,Osteoarthritis and cartilage open,2026,yes,high,3,yes,chronic postsurgical or posttraumatic pain,multifactorial signal,yes,yes,yes,3
A015_41371390,41371390,,10.1016/j.joca.2025.12.001,Sympathosensory interactions - Possible relevance in osteoarthritis.,Osteoarthritis and cartilage,2026,yes,high,3,yes,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,yes,yes,no,2
A019_41058307,41058307,PMC12705301,10.1111/joor.70074,Self-Management Therapies for Temporomandibular Disorders-Evidence From Systematic Reviews.,Journal of oral rehabilitation,2026,yes,high,3,yes,chronic secondary headache or orofacial pain,pseudo-bps or partial signal,yes,yes,no,2
A022_39564413,39564413,PMC11572368,10.1177/15563316241260717,Psychosocial Interventions to Reduce Post operative Pain in Total Knee Arthroplasty: A Systematic Review.,HSS journal : the musculoskeletal journal of Hospital for Special Surgery,2026,yes,high,3,yes,chronic postsurgical or posttraumatic pain,pseudo-bps or partial signal,no,yes,no,1
A023_41676335,41676335,PMC12888031,10.3389/fpain.2025.1709268,Chronic pain in transgender and gender-diverse youth: a biopsychosocial perspective.,"Frontiers in pain research (Lausanne, Switzerland)",2025,yes,high,3,yes,mixed or unspecified chronic pain,potential integrative signal,yes,yes,yes,3
A027_41436105,41436105,PMC12727179,10.22514/jofph.2025.066,"Applicability of the theory of pain-sensorimotor interactions to orofacial pain and sensorimotor behavior, and implications for orofacial pain research and management.",Journal of oral & facial pain and headache,2025,yes,high,3,yes,chronic secondary headache or orofacial pain,potential integrative signal,yes,yes,yes,3
A029_41409397,41409397,PMC12707115,10.2147/JPR.S564395,Flow-Induced Analgesia: A Conceptual Review of Biopsychosocial and Neurobiological Mechanisms of Pain Modulation.,Journal of pain research,2025,yes,high,3,yes,mixed or unspecified chronic pain,pseudo-bps or partial signal,yes,yes,no,2
A031_41390944,41390944,,10.1080/14656566.2025.2604681,"Current pharmacological management, treatment challenges, and potential future treatment options for fibromyalgia syndrome.",Expert opinion on pharmacotherapy,2025,yes,high,3,yes,chronic primary pain,multifactorial signal,yes,no,no,1
A032_41356326,41356326,PMC12680015,10.33393/aop.2025.3533,Is resistance training with external loads superior to unloaded exercise in the management of chronic low back pain? A systematic review and meta-analysis.,Archives of physiotherapy,2025,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,yes,yes,no,2
A035_41221343,41221343,PMC12597954,10.3389/fpain.2025.1712242,Exploring fascia in myofascial pain syndrome: an integrative model of mechanisms.,"Frontiers in pain research (Lausanne, Switzerland)",2025,yes,high,3,yes,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,yes,no,no,1
A037_41176184,41176184,,10.1016/j.ctim.2025.103290,The role of yoga as mind-body exercise in fibromyalgia management: A systematic review.,Complementary therapies in medicine,2025,yes,high,3,yes,chronic primary pain,pseudo-bps or partial signal,no,yes,no,1
A040_41146083,41146083,PMC12557928,10.1186/s12891-025-09216-4,Social factors contributing to the development of chronic low back pain: a scoping review.,BMC musculoskeletal disorders,2025,yes,high,3,yes,chronic secondary musculoskeletal pain,pseudo-bps or partial signal,no,no,yes,1
